"# If the text in the first column of a row starts with a # character, the row is ignored",,
,,"If the first column for a row is blank, then the row is ignored"
# The first non-comment line of a sound alias file specifies the key name for all values appearing in this column.,,
"# This means it is safe to swap entire columns around, though you should never swap partial columns.",,
"# You can invent new keys, but the game will ignore them if it doesn't know about them.",,
"# You can leave out keys, but the ""name"" and ""file"" keys must always be present.",,

,name,name of the alias that is used to play this sound (required)
,sequence,"used to uniquely identify alias entries when more than one sound goes to an alias, used only to catch unwanted duplicates (default = 0)"
,file,the name of the file that contains the sound data (required)
,vol_min,"0 is silent, 1 is full volume (default = 1)"
,vol_max,"0 is silent, 1 is full volume (default = same as vol_min)"
,pitch_min,"1 is normal playback, 2 is twice as fast, 0.5 is half as fast (default = 1)"
,pitch_max,"1 is normal playback, 2 is twice as fast, 0.5 is half as fast (default = same as pitch_min)"
,dist_min,"within this distance in inches, the sound is always full volume (default = 120)"
,dist_max,"outside this distance in inches, the sound is not started.  If left blank or set to 0, the sound will play from any distance.  This does not affect sound volume falloff."
,channel,"auto, menu, weapon, voice, item, body, local, music, announcer (default = auto)",,,,,,,,,,,,,,,
,type,streamed / loaded (default = loaded),,,,,,,,,,,,,,,
,probability,weight to use for the weighted probability of playing this sound instead of another sound (default = 1),,,,,,,,,,,,,,,
,loop,"whether this sound is ""looping"" or ""nonlooping"" (default = ""nonlooping"")",,,,,,,,,,,,,,,
,masterslave,"if ""master"", this is a master sound.  If a number, then this sound won't exceed this volume whenever any master sound is playing.  If blank, then neither master nor slave.",,,,,,,,,,,,,,,
,loadspec,"space-separated list of which maps should use this alias; eg, ""burnville dawnville"".  If blank, the alias is used on all maps.",,,,,,,,,,,,,,,

name,sequence,file,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,lod_min,lod_max,channel,type,probability,loop,masterslave,loadspec,subtitle

#music,,,,,,,,,,,,,,,,,


#Weapon fire sounds,,,,,,,,,,,,,,


weap_gewehr43_fire,1,weapons/gewehr43/gewehr43_01.wav,1.35,1.5,0.85,0.9,50,3500,0,1800,weapon,,,
weap_gewehr43_reload_not_empty,,weapons/gewehr43/gewehr43_reload_not_empty.wav,1.25,1.5,,,7,500,,,auto
weap_gewehr43_reload,,weapons/gewehr43/gewehr43_reload.wav,1.25,1.5,,,7,500,,,auto

weap_webley_fire,,weapons/webley/webley_01.wav,1.65,1.7,0.9,1.05,7,3500,,,weapon,,,
weap_webley_reload,,weapons/webley/weap_webley_reload.wav,1.6,1.7,,,7,500,,,auto

weap_bazooka_newreload,,weapons/bazooka/bazooka_newreload.wav,1.25,1.5,,,7,500,,,auto

weap_mauser_fire,1,weapons/mauser/mauser_01.wav,1.75,1.85,0.9,1.05,7,3500,0,1800,weapon
weap_mauser_fire,2,weapons/mauser/mauser_01.wav,1.35,1.45,0.9,1.05,7,8500,1800,8500,weapon
weap_mauser_reload,,weapons/mauser/mauser_reload.wav,1.25,1.5,,,7,500,,,auto
weap_mauser_reload_empty,,weapons/mauser/mauser_reload_empty.wav,1.25,1.5,,,7,500,,,auto

weap_silenced_sten_fire,,weapons/sten/silenced_sten_01.wav,1,1.2,0.9,1,7,1500,,,weapon,,,,,,
weap_silenced_sten_loop,,weapons/sten/silenced_sten_loop01.wav,1,1.2,0.9,1,7,1500,,,weapon,,,looping
weap_silenced_sten_cooldown,,weapons/sten/silenced_sten_cooldown01.wav,0.85,0.95,0.9,1,7,1500,,,auto,,,


weap_svt40_fire,,weapons/svt40/svt40_01.wav,1.35,1.5,0.95,1.05,50,3500,,,weapon,,,
weap_svt40_reload_not_empty,,weapons/svt40/svt40_reload_not_empty.wav,1.25,1.5,,,7,500,,,auto
weap_svt40_reload,,weapons/svt40/svt40_reload.wav,1.25,1.5,,,7,500,,,auto
